company,location,state,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,role,department,employee_type,reason,company_size,source
Policybazaar,Mumbai,Maharashtra,Financial Services,402,0.151,2025-12-08,Post-IPO,India,800,Operations Executive,Operations,Full-time,Restructuring,Small,Synthetic Practice Data
CRED,Gurugram,Haryana,FinTech,509,0.088,2025-03-20,Late Stage,India,1000,Project Manager,Project Management,Full-time,Strategic restructuring,Enterprise,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,678,0.061,2026-03-29,Late Stage,India,650,Project Manager,Project Management,Part-time,Funding issues,Small,Synthetic Practice Data
ShareChat,Mumbai,Maharashtra,Social Media,513,0.13,2022-02-07,Late Stage,India,1300,HR Executive,Human Resources,Part-time,Performance optimization,Small,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,439,0.209,2024-07-19,Late Stage,India,1200,UI/UX Designer,Design,Contract,Market conditions,Large,Synthetic Practice Data
PharmEasy,New Delhi,Delhi,HealthTech,51,0.025,2025-03-07,Late Stage,India,1200,Product Manager,Product,Intern,Cost cutting,Small,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,558,0.101,2021-05-13,Post-IPO,India,800,QA Engineer,Quality Assurance,Intern,Funding issues,Large,Synthetic Practice Data
Paytm,Bengaluru,Karnataka,FinTech,495,0.041,2021-02-11,Post-IPO,India,5000,Senior Software Engineer,Engineering,Contract,Performance optimization,Large,Synthetic Practice Data
Razorpay,Bengaluru,Karnataka,FinTech,595,0.123,2023-07-14,Late Stage,India,800,Recruiter,Human Resources,Full-time,Market conditions,Startup,Synthetic Practice Data
Infosys,Bengaluru,Karnataka,IT Services,850,0.144,2026-01-24,Post-IPO,India,0,Software Engineer,Engineering,Part-time,Funding issues,Large,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,89,0.059,2026-03-13,Late Stage,India,5500,Sales Executive,Sales,Contract,Cost cutting,Enterprise,Synthetic Practice Data
Ather Energy,Pune,Maharashtra,Automotive,611,0.097,2024-12-08,Late Stage,India,500,QA Engineer,Quality Assurance,Intern,Automation,Startup,Synthetic Practice Data
PhonePe,Bengaluru,Karnataka,FinTech,435,0.192,2021-01-31,Late Stage,India,2200,Sales Executive,Sales,Part-time,Funding issues,Large,Synthetic Practice Data
Accenture India,Hyderabad,Telangana,IT Services,145,0.22,2022-10-19,Private,India,0,Recruiter,,Intern,Restructuring,Enterprise,Synthetic Practice Data
Myntra,Bengaluru,Karnataka,E-commerce,287,0.124,2023-07-31,Late Stage,India,500,Project Manager,Project Management,Part-time,Strategic restructuring,Medium,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,348,0.057,2026-02-23,Late Stage,India,5500,Business Analyst,Business,Full-time,Business shutdown,Small,Synthetic Practice Data
Freshworks,Chennai,Tamil Nadu,SaaS,118,0.022,2025-05-28,Post-IPO,India,484,Product Manager,Product,Full-time,Business shutdown,Enterprise,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,480,0.241,2024-09-07,Late Stage,India,650,Recruiter,Human Resources,Contract,Cost cutting,Small,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,682,0.061,2021-09-17,Late Stage,India,650,Product Manager,Product,Intern,Funding issues,Medium,Synthetic Practice Data
OYO,Gurugram,Haryana,Travel,594,0.13,2022-07-28,Post-IPO,India,4300,Data Scientist,Data Science,Full-time,Merger and acquisition,Small,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,681,0.091,2025-03-23,Late Stage,India,5500,QA Engineer,Quality Assurance,Part-time,Business shutdown,Large,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,647,0.095,2022-07-16,Late Stage,India,650,UI/UX Designer,Design,Part-time,Market conditions,Startup,Synthetic Practice Data
CRED,Gurugram,Haryana,FinTech,385,0.138,2024-07-08,Late Stage,India,1000,Data Analyst,Analytics,Intern,Funding issues,Startup,Synthetic Practice Data
PhonePe,Mumbai,Maharashtra,FinTech,628,0.011,2022-07-24,Late Stage,India,2200,Finance Analyst,Finance,Intern,Automation,Small,Synthetic Practice Data
TCS,Mumbai,Maharashtra,IT Services,949,0.098,2024-01-09,Post-IPO,India,0,Operations Executive,Operations,Intern,Strategic restructuring,Startup,Synthetic Practice Data
Flipkart,Bengaluru,Karnataka,E-commerce,333,0.235,2025-06-20,Late Stage,India,8700,Business Analyst,Business,Full-time,Merger and acquisition,Large,Synthetic Practice Data
Unacademy,Jaipur,Rajasthan,EdTech,244,0.235,2026-04-18,Late Stage,India,800,Customer Support Executive,Customer Support ,Part-time,Business shutdown,Medium,Synthetic Practice Data
Ather Energy,Pune,Maharashtra,Automotive,142,0.159,2021-03-23,Late Stage,India,500,QA Engineer,Quality Assurance,Part-time,Cost cutting,Large,Synthetic Practice Data
CRED,Mumbai,Maharashtra,FinTech,697,0.099,2025-01-28,Late Stage,India,1000,Senior Software Engineer,Engineering,Full-time,Merger and acquisition,Small,Synthetic Practice Data
Ola,Bengaluru,Karnataka,Transportation,232,0.167,2023-05-10,Late Stage,India,3200,DevOps Engineer,Engineering,Contract,Merger and acquisition,Enterprise,Synthetic Practice Data
Infosys,Bengaluru,Karnataka,IT Services,1143,0.085,2022-06-06,Post-IPO,India,0,Project Manager,Project Management,Full-time,Restructuring,Large,Synthetic Practice Data
Razorpay,Gurugram,Haryana,FinTech,351,0.051,2026-04-07,Late Stage,India,800,Finance Analyst,Finance,Full-time,Performance optimization,Small,Synthetic Practice Data
Swiggy,New Delhi,Delhi,Food Delivery,26,0.178,2023-05-26,Post-IPO,India,3600,QA Engineer,Quality Assurance,Intern,Market conditions,Medium,Synthetic Practice Data
Lenskart,Gurugram,Haryana,Retail,389,0.106,2021-11-11,Late Stage,India,1500,Data Analyst,Analytics,Intern,Strategic restructuring,Small,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,56,0.166,2024-04-05,Late Stage,India,800,,Finance,Full-time,Performance optimization,Enterprise,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,573,0.015,2021-12-27,Late Stage,India,1200,HR Executive,Human Resources,Intern,Funding issues,Medium,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,854,0.135,2024-10-31,Post-IPO,India,0,Business Analyst,Business,Intern,Economic slowdown,Small,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,256,0.155,2024-06-26,Late Stage,India,500,Marketing Executive,Marketing,Contract,Merger and acquisition,Medium,Synthetic Practice Data
Policybazaar,Mumbai,Maharashtra,Financial Services,294,0.099,2026-07-01,Post-IPO,India,800,Recruiter,Human Resources,Intern,Funding issues,Small,Synthetic Practice Data
Paytm,New Delhi,Delhi,FinTech,97,0.122,2025-05-01,Post-IPO,India,5000,Finance Analyst,Finance,Contract,Business shutdown,Enterprise,Synthetic Practice Data
Lenskart,Gurugram,Haryana,Retail,652,0.077,,Late Stage,India,1500,Operations Executive,Operations,Part-time,Market conditions,Enterprise,Synthetic Practice Data
Meesho,Mumbai,Maharashtra,E-commerce,24,0.075,2022-04-01,Late Stage,India,1200,data analyst,Analytics,Part-time,Business shutdown,Large,Synthetic Practice Data
Lenskart,Gurugram,Haryana,Retail,693,0.15,2021-09-27,Late Stage,India,1500,Recruiter,Human Resources,Contract,Funding issues,Small,Synthetic Practice Data
Infosys,Pune,Maharashtra,IT Services,1128,0.149,2021-10-10,Post-IPO,India,0,Sales Executive,Sales,Full-time,Automation,Startup,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,309,0.199,2025-10-27,Post-IPO,India,0,Product Manager,Product,Part-time,Market conditions,Enterprise,Synthetic Practice Data
Accenture India,Bengaluru,Karnataka,IT Services,206,0.049,2023-01-28,Private,India,0,Software Engineer,Engineering,Contract,Restructuring,Startup,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,534,0.119,2025-07-07,Late Stage,India,500,Customer Support Executive,Customer Support,Full-time,Performance optimization,Small,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,496,0.12,2026-03-13,Post-IPO,India,0,Recruiter,Human Resources,Intern,Economic slowdown,Large,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,30,0.177,2021-09-07,Late Stage,India,500,UI/UX Designer,Design,Part-time,Merger and acquisition,Startup,Synthetic Practice Data
ShareChat,Mumbai,Maharashtra,Social Media,49,0.082,2022-06-01,Late Stage,India,1300,Data Scientist,Data Science,Part-time,Restructuring,Medium,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,59,0.112,2021-07-13,Late Stage,India,1000,Data Scientist,Data Science,Part-time,Business shutdown,Large,Synthetic Practice Data
Meesho,Bengaluru,Karnataka,E-commerce,292,0.231,2022-09-26,Late Stage,India,1200,Recruiter,Human Resources,Full-time,,Startup,Synthetic Practice Data
TCS,Bengaluru,Karnataka,IT Services,1105,0.04,2021-12-07,Post-IPO,India,0,Business Analyst,Business,Full-time,Restructuring,Small,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,509,0.065,2023-03-15,Late Stage,India,500,Finance Analyst,finance,Contract,Merger and acquisition,Enterprise,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,82,0.017,2024-09-23,Late Stage,India,1200,DevOps Engineer,Engineering,Contract,Cost cutting,Small,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,226,0.143,2024-09-23,Late Stage,India,500,UI/UX Designer,Design,Intern,Merger and acquisition,Enterprise,Synthetic Practice Data
Tech Mahindra,Kolkata,West Bengal,IT Services,563,0.076,2026-06-08,Post-IPO,India,0,Product Manager,Product,Contract,Economic slowdown,Large,Synthetic Practice Data
Zomato,gurugram,Haryana, Food Delivery,575,0.083,2025-03-03,Post-IPO,India,2500,Customer Support Executive,Customer Support,Part-time,Strategic restructuring,Small,Synthetic Practice Data
HCLTech,Hyderabad,Telangana,IT Services,235,0.2,2022-05-21,Post-IPO,India,0,Product Manager,Product,Intern,Economic slowdown,Enterprise,Synthetic Practice Data
Flipkart,Mumbai,Maharashtra,E-commerce,666,0.091,2023-10-17,Late Stage,India,8700,Data Analyst,Analytics,Contract,Economic slowdown,Startup,Synthetic Practice Data
Curefit,Hyderabad,Telangana,HealthTech,343,0.106,2025-05-29,Late Stage,India,700,Finance Analyst,Finance,Contract,Funding issues,Startup,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,474,0.037,2021-09-03,Late Stage,India,1200,Marketing Executive,Marketing,Part-time,Economic slowdown,Large,Synthetic Practice Data
 Ather Energy,Bengaluru,Karnataka,Automotive,366,0.068,2023-02-22,Late Stage,India,500,Marketing Executive,Marketing,Contract,Strategic restructuring,Startup,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,245,0.127,2023-05-24,Late Stage,India,800,Software Engineer,Engineering,Contract,Performance optimization,Large,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,307,0.057,2026-03-12,Late Stage,India,1200,Finance Analyst,Finance,Full-time,Restructuring,Startup,Synthetic Practice Data
Freshworks,Hyderabad,Telangana,SaaS,1117,0.069,2025-02-06,Post-IPO,India,484,Project Manager,Project Management,Part-time,Strategic restructuring,Medium,Synthetic Practice Data
Curefit,Hyderabad,Telangana,HealthTech,672,0.109,2026-04-26,Late Stage,India,700,UI/UX Designer,Design,Part-time,Business shutdown,Enterprise,Synthetic Practice Data
HCLTech,Noida,Uttar Pradesh,IT Services,1076,0.147,2025-07-01,Post-IPO,India,0,Data Scientist,Data Science,Contract,Restructuring,Large,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,146,0.08,2024-09-03,Late Stage,India,1200,Operations Executive,Operations,Intern,Business shutdown,Small,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,1184,0.045,2024-09-15,Post-IPO,India,2500,Sales Executive,Sales,Intern,Strategic restructuring,Startup,Synthetic Practice Data
Infosys,Pune,Maharashtra,IT Services,617,0.123,2021-04-22,Post-IPO,India,0,Data Scientist,Data Science,Full-time,Business shutdown,Large,Synthetic Practice Data
TCS,Bengaluru,Karnataka,IT Services,418,0.028,2023-08-07,Post-IPO,India,0,UI/UX Designer,Design,Part-time,Strategic restructuring,Small,Synthetic Practice Data
Swiggy,Bengaluru,Karnataka,Food Delivery,810,0.071,2025-09-15,Post-IPO,India,3600,Software Engineer,Engineering,Full-time,Economic slowdown,Large,Synthetic Practice Data
Paytm,Bengaluru,Karnataka,FinTech,303,0.154,2023-04-09,Post-IPO,India,5000,Data Analyst,Analytics,Contract,Economic slowdown,Medium,Synthetic Practice Data
Ola,Bengaluru,Karnataka,Transportation,252,0.13,2023-06-04,Late Stage,India,3200,Senior Software Engineer,Engineering,Part-time,Restructuring,Enterprise,Synthetic Practice Data
Tech Mahindra,Kolkata,West Bengal,IT Services,452,0.089,2022-01-16,Post-IPO,India,0,Business Analyst,,Full-time,Funding issues,Large,Synthetic Practice Data
PharmEasy,Mumbai,Maharashtra,HealthTech,498,0.038,2023-07-16,Late Stage,India,1200,Software Engineer,Engineering,Contract,Merger and acquisition,Large,Synthetic Practice Data
Tech Mahindra,Hyderabad,Telangana,IT Services,685,0.147,2025-04-01,Post-IPO,India,0,QA Engineer,Quality Assurance,Part-time,Merger and acquisition,Medium,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,331,0.1,2023-09-28,Late Stage,India,5500,HR Executive,Human Resources,Full-time,Business shutdown,Small,Synthetic Practice Data
Flipkart,Mumbai,Maharashtra,E-commerce,258,0.204,2025-01-22,Late Stage,India,8700,Product Manager,Product,Part-time,Performance optimization,Large,Synthetic Practice Data
Dream11,Bengaluru,Karnataka,Gaming,98,0.174,2024-02-15,Late Stage,India,1000,Finance Analyst,Finance,Part-time,Restructuring,Medium,Synthetic Practice Data
Myntra,Gurugram,Haryana,E-commerce,256,0.152,2025-10-13,Late Stage,India,500,Product Manager,Product,Intern,Business shutdown,Enterprise,Synthetic Practice Data
Swiggy,Hyderabad,Telangana,Food Delivery,459,0.102,2022-08-02,Post-IPO,India,3600,Product Manager,Product,Part-time,Business shutdown,Large,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,425,0.155,2021-03-04,Late Stage,India,,Sales Executive,Sales,Intern,Restructuring,Startup,Synthetic Practice Data
CRED,Bengaluru,Karnataka,FinTech,459,0.171,2025-12-05,Late Stage,India,1000,Project Manager,Project Management,Full-time,Economic slowdown,Small,Synthetic Practice Data
Flipkart,Bengaluru,Karnataka,E-commerce,256,0.172,2024-09-16,Late Stage,India,8700,HR Executive,Human Resources,Full-time,Economic slowdown ,Large,Synthetic Practice Data
Zomato,Bengaluru,Karnataka,Food Delivery,242,0.195,2025-06-06,Post-IPO,India,2500,HR Executive,Human Resources,Part-time,Performance optimization,Startup,Synthetic Practice Data
Udaan,Bengaluru,Karnataka,E-commerce,128,0.087,2022-04-02,Late Stage,India,1200,Product Manager,Product,Part-time,Restructuring,Medium,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,54,0.056,2022-10-09,Late Stage,India,650,QA Engineer,Quality Assurance,Intern,Business shutdown,Enterprise,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,580,0.017,2021-03-16,Late Stage,India,800,Product Manager,Product,Contract,Funding issues,Medium,Synthetic Practice Data
Lenskart,Mumbai,Maharashtra,Retail,596,0.026,2025-02-11,Late Stage,India,1500,UI/UX Designer,Design,Full-time,Merger and acquisition,Startup,Synthetic Practice Data
ShareChat,New Delhi,Delhi,Social Media,699,0.08,2024-05-25,Late Stage,India,1300,DevOps Engineer,Engineering,Intern,Performance optimization,Medium,Synthetic Practice Data
OYO,Mumbai,Maharashtra,Travel,37,0.03,2022-03-26,Post-IPO,India,4300,Marketing Executive,Marketing,Part-time,Merger and acquisition,Medium,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,50,0.172,2025-01-15,Late Stage,India,5500,QA Engineer,Quality Assurance,Contract,Funding issues,Large,Synthetic Practice Data
Wipro,Kolkata,West Bengal,IT Services,189,0.178,2026-05-24,Post-IPO,India,0,Data Scientist,Data Science,Full-time,Restructuring,Large,Synthetic Practice Data
Dream11,,Maharashtra,Gaming,517,0.036,2024-03-31,Late Stage,India,1000,Senior Software Engineer,Engineering,Intern,Cost cutting,Startup,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,700,0.13,2025-04-06,Late Stage,India,1200,DevOps Engineer,Engineering,Part-time,Funding issues,Large,Synthetic Practice Data
PhonePe,Bengaluru,Karnataka,FinTech,337,0.197,2022-03-09,Late Stage,India,2200,Customer Support Executive,Customer Support,Part-time,Funding issues,Enterprise,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,697,0.117,2023-01-10,Late Stage,India,800,UI/UX Designer,Design,Intern,Cost cutting,Enterprise,Synthetic Practice Data
Zomato,Mumbai,Maharashtra,Food Delivery,880,0.062,2025-04-16,Post-IPO,India,2500,Data Scientist,Data Science,Contract,Automation,Large,Synthetic Practice Data
Infosys,Hyderabad,Telangana,IT Services,629,0.101,2026-07-29,Post-IPO,India,0,UI/UX Designer,Design,Full-time,Market conditions,Enterprise,Synthetic Practice Data
Swiggy,New Delhi,Delhi,Food Delivery,1111,0.102,2023-06-03,Post-IPO,India,3600,Operations Executive,Operations,Contract,Automation,Large,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,854,0.135,2024-10-31,Post-IPO,India,0,Business Analyst,Business,Intern,Economic slowdown,Small,Synthetic Practice Data
Myntra,Gurugram,Haryana,E-commerce,415,0.121,2024-03-19,Late Stage,India,500,QA Engineer,Quality Assurance,Full-time,Merger and acquisition,Startup,Synthetic Practice Data
Swiggy,Hyderabad,Telangana,Food Delivery,295,0.027,2021-08-05,Post-IPO,India,3600,Finance Analyst,Finance,Contract,Restructuring,Large,Synthetic Practice Data
Tech Mahindra,Hyderabad,Telangana,IT Services,1145,0.08,2026-07-11,Post-IPO,India,0,Marketing Executive,Marketing,Intern,Merger and acquisition,Enterprise,Synthetic Practice Data
ShareChat,Bengaluru,Karnataka,Social Media,55,0.04,2023-10-06,Late Stage,India,1300,Sales Executive,Sales,Intern,Strategic restructuring,Medium,Synthetic Practice Data
Razorpay,Gurugram,Haryana,FinTech,198,0.021,2023-06-12,Late Stage,India,800,Project Manager,Project Management,Contract,Strategic restructuring,Startup,Synthetic Practice Data
